Date,Category,Sales,Quantity,Profit,Region,Year,Month,Month_Name,Day,Day_of_Week,Sales_per_Item,Profit_Margin,Sales_Level,Profit_Status
2023-01-01,Electronics,1149.0142459033698,11.0,383.6642446,North,2023,1,January,1,Sunday,104.45584053666998,0.33390730007734437,High,Profit
2023-01-01,Clothing,958.5207096486446,7.0,224.0540489598144,East,2023,1,January,1,Sunday,136.93152994980636,0.2337498258560774,High,Profit
2023-01-01,Home Goods,1473.7638446522174,2.0,466.59309040026267,South,2023,1,January,1,Sunday,736.8819223261087,0.31659963168004746,High,Profit
2023-01-01,Sports,1230.2304187458726,6.0,123.31046030259608,West,2023,1,January,1,Sunday,205.0384031243121,0.1002336297523043,High,Profit
2023-01-01,NaN?,828.5859502737576,12.0,88.59135543794339,East,2023,1,January,1,Sunday,69.0488291894798,0.10691872751242473,High,Profit
2023-01-02,Electronics,722.7751486758685,10.0,82.39614936777052,West,2023,1,January,2,Monday,72.27751486758686,0.11399969896408463,High,Profit
2023-01-02,Clothing,788.9968594877778,15.0,225.27107174327347,West,2023,1,January,2,Monday,52.59979063251852,0.2855158027999262,High,Profit
2023-01-02,Home Goods,358.11380317712815,3.0,128.1983391863219,East,2023,1,January,2,Monday,119.37126772570939,0.35798212202089624,Medium,Profit
2023-01-02,Sports,819.9238449682265,2.0,250.29807668245093,East,2023,1,January,2,Monday,409.96192248411324,0.3052699079536471,High,Profit
2023-01-02,Books,1284.2319463139916,7.0,363.4363531521607,West,2023,1,January,2,Monday,183.46170661628452,0.2829989973347863,High,Profit
2023-01-03,Clothing,633.7469050086934,10.0,171.30818821937146,North,2023,1,January,3,Tuesday,63.374690500869335,0.2703100983459975,High,Profit
2023-01-03,Home Goods,1221.539973998623,8.0,331.2000326987152,West,2023,1,January,3,Tuesday,152.69249674982788,0.27113319232161986,High,Profit
2023-01-03,Books,1232.110125050105,13.0,175.30126184188364,East,2023,1,January,3,Tuesday,94.77770192693114,0.14227726749242878,High,Profit
2023-01-04,Clothing,437.2969683380449,8.0,44.45413835689217,East,2023,1,January,4,Wednesday,54.66212104225561,0.10165663513708073,Medium,Profit
2023-01-04,Home Goods,589.9653583341108,19.0,184.10293967965828,East,2023,1,January,4,Wednesday,31.05080833337425,0.3120572031542852,High,Profit
2023-01-04,Books,1391.0983805195751,7.0,493.8560247347233,West,2023,1,January,4,Wednesday,198.72834007422503,0.3550115733369398,High,Profit
2023-01-05,Electronics,856.0,5.0,273.0418627671485,West,2023,1,January,5,Thursday,171.2,0.3189741387466688,High,Profit
2023-01-05,Clothing,944.3023070008549,3.0,228.2043236692849,North,2023,1,January,5,Thursday,314.7674356669516,0.24166447754858478,High,Profit
2023-01-05,Home Goods,719.8711477263851,14.0,178.62787558175916,North,2023,1,January,5,Thursday,51.41936769474179,0.24813867890931726,High,Profit
2023-01-05,Sports,1235.2624562961814,15.0,281.9638562,South,2023,1,January,5,Thursday,82.35083041974544,0.22826230552286206,High,Profit
